# Elements 1e+06
[00001.676 ms] [1.644725] multiplyCuda<<<8192, 32>>>
[00001.531 ms] [1.644725] multiplyCuda<<<8192, 64>>>
[00001.493 ms] [1.644725] multiplyCuda<<<8192, 128>>>
[00001.489 ms] [1.644725] multiplyCuda<<<8192, 256>>>
[00001.490 ms] [1.644725] multiplyCuda<<<8192, 512>>>
[00001.469 ms] [1.644725] multiplyCuda<<<8192, 1024>>>
[00001.584 ms] [1.644725] multiplyCuda<<<16384, 32>>>
[00001.502 ms] [1.644725] multiplyCuda<<<16384, 64>>>
[00001.486 ms] [1.644725] multiplyCuda<<<16384, 128>>>
[00001.491 ms] [1.644725] multiplyCuda<<<16384, 256>>>
[00001.481 ms] [1.644725] multiplyCuda<<<16384, 512>>>
[00001.472 ms] [1.644725] multiplyCuda<<<16384, 1024>>>
[00001.549 ms] [1.644725] multiplyCuda<<<32768, 32>>>
[00001.483 ms] [1.644725] multiplyCuda<<<32768, 64>>>
[00001.485 ms] [1.644725] multiplyCuda<<<32768, 128>>>
[00001.472 ms] [1.644725] multiplyCuda<<<32768, 256>>>
[00001.468 ms] [1.644725] multiplyCuda<<<32768, 512>>>
[00001.484 ms] [1.644725] multiplyCuda<<<32768, 1024>>>

# Elements 1e+09
[00279.861 ms] [1.644725] multiplySeq
[00021.842 ms] [1.644725] multiplyCuda<<<1024, 32>>>
[00017.829 ms] [1.644725] multiplyCuda<<<1024, 64>>>
[00016.707 ms] [1.644725] multiplyCuda<<<1024, 128>>>
[00016.216 ms] [1.644725] multiplyCuda<<<1024, 256>>>
[00016.468 ms] [1.644725] multiplyCuda<<<1024, 512>>>
[00015.225 ms] [1.644725] multiplyCuda<<<1024, 1024>>>
[00017.614 ms] [1.644725] multiplyCuda<<<2048, 32>>>
[00016.934 ms] [1.644725] multiplyCuda<<<2048, 64>>>
[00016.197 ms] [1.644725] multiplyCuda<<<2048, 128>>>
[00016.401 ms] [1.644725] multiplyCuda<<<2048, 256>>>
[00015.286 ms] [1.644725] multiplyCuda<<<2048, 512>>>
[00014.966 ms] [1.644725] multiplyCuda<<<2048, 1024>>>
[00017.428 ms] [1.644725] multiplyCuda<<<4096, 32>>>
[00016.449 ms] [1.644725] multiplyCuda<<<4096, 64>>>
[00016.333 ms] [1.644725] multiplyCuda<<<4096, 128>>>
[00015.280 ms] [1.644725] multiplyCuda<<<4096, 256>>>
