# Elements 1e+06
[00000.176 ms] [1.644725] multiplySeq
[00000.169 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=8]
[00000.171 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=12]
[00000.169 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=16]
[00000.173 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=24]
[00000.167 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=32]
[00000.179 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=48]
[00000.167 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=64]

# Elements 1e+08
[00038.202 ms] [1.644725] multiplySeq
[00001.549 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=1]
[00001.549 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=2]
[00001.548 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=3]
[00001.554 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=4]
[00001.554 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=6]
[00001.552 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=8]
[00001.554 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=12]
[00001.554 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=16]
[00001.553 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=24]
[00001.556 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=32]
[00001.633 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=48]
[00001.632 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=64]
[00001.484 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=1]
[00001.485 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=2]
[00001.484 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=3]
[00001.484 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=4]
[00001.487 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=6]
[00001.486 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=8]
[00001.484 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=12]
[00001.483 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=16]
[00001.508 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=24]
[00001.529 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=32]
[00001.524 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=48]
[00001.496 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=64]
[00001.467 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=1]
[00001.467 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=2]
[00001.467 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=3]
