elements,time,sum,technique,grid_limit,block_size,sol_sm_percent,sol_memory_percent
"100000000","1.651","1.644725","multiplyCuda","4096","32","5.64","80.25"
"100000000","1.528","1.644725","multiplyCuda","4096","64","6.21","88.22"
"100000000","1.536","1.644725","multiplyCuda","4096","128","6.19","87.82"
"100000000","1.496","1.644725","multiplyCuda","4096","256","6.45","91.19"
"100000000","1.478","1.644725","multiplyCuda","4096","512","6.56","92.07"
"100000000","1.482","1.644725","multiplyCuda","4096","1024","6.68","92.12"
"100000000","1.676","1.644725","multiplyCuda","8192","32","5.63","79.77"
"100000000","1.531","1.644725","multiplyCuda","8192","64","6.14","86.79"
"100000000","1.493","1.644725","multiplyCuda","8192","128","6.45","91.15"
"100000000","1.489","1.644725","multiplyCuda","8192","256","6.55","91.85"
"100000000","1.49","1.644725","multiplyCuda","8192","512","6.63","91.78"
"100000000","1.469","1.644725","multiplyCuda","8192","1024","7.64","92.71"
"100000000","1.584","1.644725","multiplyCuda","16384","32","6.03","85.57"
"100000000","1.502","1.644725","multiplyCuda","16384","64","6.43","90.79"
"100000000","1.486","1.644725","multiplyCuda","16384","128","6.56","91.72"
"100000000","1.491","1.644725","multiplyCuda","16384","256","6.65","91.66"
"100000000","1.481","1.644725","multiplyCuda","16384","512","7.66","92.56"
"100000000","1.472","1.644725","multiplyCuda","16384","1024","9.99","92.75"
"100000000","1.549","1.644725","multiplyCuda","32768","32","6.23","88.05"
"100000000","1.483","1.644725","multiplyCuda","32768","64","6.52","91.52"
"100000000","1.485","1.644725","multiplyCuda","32768","128","6.66","91.81"
"100000000","1.472","1.644725","multiplyCuda","32768","256","7.64","92.45"
"100000000","1.468","1.644725","multiplyCuda","32768","512","9.99","92.72"
"100000000","1.484","1.644725","multiplyCuda","32768","1024","13.63","91.47"
"1000000000","279.861","1.644725","multiplySeq","0","0","0","0"
"1000000000","21.842","1.644725","multiplyCuda","1024","32","4.13","58.89"
"1000000000","17.829","1.644725","multiplyCuda","1024","64","5.21","73.98"
"1000000000","16.707","1.644725","multiplyCuda","1024","128","5.72","81.54"
"1000000000","16.216","1.644725","multiplyCuda","1024","256","5.78","82.46"
"1000000000","16.468","1.644725","multiplyCuda","1024","512","5.66","80.61"
"1000000000","15.225","1.644725","multiplyCuda","1024","1024","6.18","88.02"
"1000000000","17.614","1.644725","multiplyCuda","2048","32","5.21","74.26"
"1000000000","16.934","1.644725","multiplyCuda","2048","64","5.58","79.53"
"1000000000","16.197","1.644725","multiplyCuda","2048","128","5.79","82.48"
"1000000000","16.401","1.644725","multiplyCuda","2048","256","5.71","81.46"
