elements,time,sum,technique,block_size,thread_duty
"10000000","0.307","1.644934","multiplyCuda","0","0"
"10000000","0.307","1.644934","multiplyCuda","0","0"
"10000000","0.305","1.644934","multiplyCuda","0","0"
"10000000","0.315","1.644934","multiplyCuda","0","0"
"10000000","0.303","1.644934","multiplyCuda","0","0"
"10000000","0.302","1.644934","multiplyCuda","0","0"
"10000000","0.303","1.644934","multiplyCuda","0","0"
"10000000","0.303","1.644934","multiplyCuda","0","0"
"10000000","0.3","1.644934","multiplyCuda","0","0"
"10000000","0.305","1.644934","multiplyCuda","0","0"
"10000000","0.302","1.644934","multiplyCuda","0","0"
"10000000","0.305","1.644934","multiplyCuda","0","0"
"10000000","0.306","1.644934","multiplyCuda","0","0"
"10000000","0.308","1.644934","multiplyCuda","0","0"
"10000000","0.303","1.644934","multiplyCuda","0","0"
"10000000","0.315","1.644934","multiplyCuda","0","0"
"10000000","0.304","1.644934","multiplyCuda","0","0"
"10000000","0.302","1.644934","multiplyCuda","0","0"
"10000000","0.302","1.644934","multiplyCuda","0","0"
"10000000","0.303","1.644934","multiplyCuda","0","0"
"10000000","0.303","1.644934","multiplyCuda","0","0"
"10000000","0.307","1.644934","multiplyCuda","0","0"
"10000000","0.304","1.644934","multiplyCuda","0","0"
"10000000","0.304","1.644934","multiplyCuda","0","0"
"10000000","0.303","1.644934","multiplyCuda","0","0"
"10000000","0.307","1.644934","multiplyCuda","0","0"
"10000000","0.307","1.644934","multiplyCuda","0","0"
"10000000","0.315","1.644934","multiplyCuda","0","0"
"10000000","0.3","1.644934","multiplyCuda","0","0"
"100000000","56.7","1.644934","multiplySeq","0","0"
"100000000","2.891","1.644934","multiplyCuda","0","0"
"100000000","2.899","1.644934","multiplyCuda","0","0"
"100000000","2.898","1.644934","multiplyCuda","0","0"
"100000000","2.901","1.644934","multiplyCuda","0","0"
"100000000","2.897","1.644934","multiplyCuda","0","0"
"100000000","2.897","1.644934","multiplyCuda","0","0"
"100000000","2.898","1.644934","multiplyCuda","0","0"
"100000000","2.897","1.644934","multiplyCuda","0","0"
"100000000","2.901","1.644934","multiplyCuda","0","0"
"100000000","2.897","1.644934","multiplyCuda","0","0"
"100000000","2.944","1.644934","multiplyCuda","0","0"
"100000000","2.958","1.644934","multiplyCuda","0","0"
"100000000","2.877","1.644934","multiplyCuda","0","0"
"100000000","2.876","1.644934","multiplyCuda","0","0"
"100000000","2.876","1.644934","multiplyCuda","0","0"
"100000000","2.877","1.644934","multiplyCuda","0","0"
"100000000","2.877","1.644934","multiplyCuda","0","0"
"100000000","2.876","1.644934","multiplyCuda","0","0"
"100000000","2.876","1.644934","multiplyCuda","0","0"
"100000000","2.877","1.644934","multiplyCuda","0","0"
"100000000","2.908","1.644934","multiplyCuda","0","0"
"100000000","2.893","1.644934","multiplyCuda","0","0"
"100000000","2.905","1.644934","multiplyCuda","0","0"
"100000000","2.912","1.644934","multiplyCuda","0","0"
"100000000","2.866","1.644934","multiplyCuda","0","0"
"100000000","2.867","1.644934","multiplyCuda","0","0"
"100000000","2.868","1.644934","multiplyCuda","0","0"
"100000000","2.869","1.644934","multiplyCuda","0","0"
"100000000","2.868","1.644934","multiplyCuda","0","0"
"100000000","2.867","1.644934","multiplyCuda","0","0"
"100000000","2.884","1.644934","multiplyCuda","0","0"
"100000000","2.897","1.644934","multiplyCuda","0","0"
"100000000","2.907","1.644934","multiplyCuda","0","0"
"100000000","2.896","1.644934","multiplyCuda","0","0"
"100000000","2.907","1.644934","multiplyCuda","0","0"
"100000000","2.916","1.644934","multiplyCuda","0","0"
"100000000","2.903","1.644934","multiplyCuda","0","0"
"100000000","2.902","1.644934","multiplyCuda","0","0"
"100000000","2.902","1.644934","multiplyCuda","0","0"
"100000000","2.901","1.644934","multiplyCuda","0","0"
"100000000","2.857","1.644934","multiplyCuda","0","0"
"100000000","2.89","1.644934","multiplyCuda","0","0"
"100000000","2.883","1.644934","multiplyCuda","0","0"
"100000000","2.896","1.644934","multiplyCuda","0","0"
"100000000","2.905","1.644934","multiplyCuda","0","0"
"100000000","2.89","1.644934","multiplyCuda","0","0"
"100000000","2.9","1.644934","multiplyCuda","0","0"
"100000000","2.9","1.644934","multiplyCuda","0","0"
"100000000","2.862","1.644934","multiplyCuda","0","0"
"100000000","2.861","1.644934","multiplyCuda","0","0"
"100000000","2.859","1.644934","multiplyCuda","0","0"
"100000000","2.87","1.644934","multiplyCuda","0","0"
"100000000","2.856","1.644934","multiplyCuda","0","0"
"100000000","2.892","1.644934","multiplyCuda","0","0"
"100000000","2.882","1.644934","multiplyCuda","0","0"
"100000000","2.895","1.644934","multiplyCuda","0","0"
"100000000","2.899","1.644934","multiplyCuda","0","0"
"100000000","2.884","1.644934","multiplyCuda","0","0"
"100000000","2.899","1.644934","multiplyCuda","0","0"
"100000000","2.9","1.644934","multiplyCuda","0","0"
"100000000","2.858","1.644934","multiplyCuda","0","0"
"100000000","2.854","1.644934","multiplyCuda","0","0"
"100000000","2.859","1.644934","multiplyCuda","0","0"
"100000000","2.87","1.644934","multiplyCuda","0","0"
"100000000","2.854","1.644934","multiplyCuda","0","0"
"100000000","2.891","1.644934","multiplyCuda","0","0"
"100000000","2.879","1.644934","multiplyCuda","0","0"
"100000000","2.891","1.644934","multiplyCuda","0","0"
"100000000","3.374","1.644934","multiplyCuda","0","0"
"100000000","2.884","1.644934","multiplyCuda","0","0"
"100000000","2.894","1.644934","multiplyCuda","0","0"
"100000000","2.897","1.644934","multiplyCuda","0","0"
"1000000000","577.126","1.644934","multiplySeq","0","0"
