elements,time,sum,technique,grid_limit,block_size
"100000000","1.466","1.644725","multiplyCuda","8192","1024"
"100000000","1.579","1.644725","multiplyCuda","16384","32"
"100000000","1.501","1.644725","multiplyCuda","16384","64"
"100000000","1.485","1.644725","multiplyCuda","16384","128"
"100000000","1.489","1.644725","multiplyCuda","16384","256"
"100000000","1.474","1.644725","multiplyCuda","16384","512"
"100000000","1.469","1.644725","multiplyCuda","16384","1024"
"100000000","1.548","1.644725","multiplyCuda","32768","32"
"100000000","1.485","1.644725","multiplyCuda","32768","64"
"100000000","1.488","1.644725","multiplyCuda","32768","128"
"100000000","1.476","1.644725","multiplyCuda","32768","256"
"100000000","1.469","1.644725","multiplyCuda","32768","512"
"100000000","1.481","1.644725","multiplyCuda","32768","1024"
"1000000000","222.804","1.644725","multiplySeq","0","0"
"1000000000","22.11","1.644725","multiplyCuda","1024","32"
"1000000000","17.973","1.644725","multiplyCuda","1024","64"
"1000000000","16.547","1.644725","multiplyCuda","1024","128"
"1000000000","15.978","1.644725","multiplyCuda","1024","256"
"1000000000","16.352","1.644725","multiplyCuda","1024","512"
"1000000000","15.158","1.644725","multiplyCuda","1024","1024"
"1000000000","17.78","1.644725","multiplyCuda","2048","32"
"1000000000","16.716","1.644725","multiplyCuda","2048","64"
"1000000000","16.042","1.644725","multiplyCuda","2048","128"
"1000000000","16.249","1.644725","multiplyCuda","2048","256"
"1000000000","15.131","1.644725","multiplyCuda","2048","512"
"1000000000","14.903","1.644725","multiplyCuda","2048","1024"
"1000000000","17.621","1.644725","multiplyCuda","4096","32"
"1000000000","16.419","1.644725","multiplyCuda","4096","64"
"1000000000","16.191","1.644725","multiplyCuda","4096","128"
"1000000000","15.118","1.644725","multiplyCuda","4096","256"
"1000000000","14.858","1.644725","multiplyCuda","4096","512"
"1000000000","14.812","1.644725","multiplyCuda","4096","1024"
"1000000000","17.53","1.644725","multiplyCuda","8192","32"
"1000000000","16.348","1.644725","multiplyCuda","8192","64"
"1000000000","15.147","1.644725","multiplyCuda","8192","128"
"1000000000","14.861","1.644725","multiplyCuda","8192","256"
"1000000000","14.794","1.644725","multiplyCuda","8192","512"
"1000000000","14.708","1.644725","multiplyCuda","8192","1024"
"1000000000","16.359","1.644725","multiplyCuda","16384","32"
"1000000000","15.184","1.644725","multiplyCuda","16384","64"
"1000000000","14.925","1.644725","multiplyCuda","16384","128"
"1000000000","14.828","1.644725","multiplyCuda","16384","256"
"1000000000","14.693","1.644725","multiplyCuda","16384","512"
"1000000000","14.539","1.644725","multiplyCuda","16384","1024"
"1000000000","15.935","1.644725","multiplyCuda","32768","32"
"1000000000","14.988","1.644725","multiplyCuda","32768","64"
"1000000000","14.874","1.644725","multiplyCuda","32768","128"
"1000000000","14.707","1.644725","multiplyCuda","32768","256"
"1000000000","14.554","1.644725","multiplyCuda","32768","512"
"1000000000","14.914","1.644725","multiplyCuda","32768","1024"
